Targa;Data_Rifornimento;Ora_Rifornimento;Chilometraggio;Litri;Importo_Totale;Fornitore;Tipo_Rifornimento;Numero_Scontrino;Localita
EL934BA;04/06/25;08:13;516120;80.63;126.77;IP;esterno;00024779;FARA IN SABINA - VIA GRAMSCI
EL934BA;07/06/25;07:52;516826;67.36;105.91;IP;esterno;00024858;FARA IN SABINA - VIA GRAMSCI
EL934BA;09/06/25;07:58;517056;70.59;110.98;IP;esterno;00024890;FARA IN SABINA - VIA GRAMSCI
EL934BA;11/06/25;13:23;517604;95.2;147.77;IP;esterno;00024945;FARA IN SABINA - VIA GRAMSCI
EL934BA;13/06/25;08:01;517946;63.91;101.12;IP;esterno;00024995;FARA IN SABINA - VIA GRAMSCI
EM647VW;14/06/25;06:11;359892;133.74;216.82;IP;esterno;00000563;CIVITA CASTELLANA - BORGHETTO
FB333FP;07/06/25;10:04;392062;55.85;91.54;IP;esterno;00000992;TERAMO - S.ATTO
FJ108FM;01/06/25;16:21;411465;87.49;141.05;IP;esterno;00008488;CAMAIORE - ITALICA
FP059SR;08/06/25;11:18;1;375.99;579.85;IP;esterno;00004586;PADOVA - VIA PIOVESE
FZ463DT;02/06/25;17:10;252556;43.4;69.97;IP;esterno;00008504;CAMAIORE - ITALICA
FZ463DT;07/06/25;10:02;253549;45.49;74.56;IP;esterno;00000991;TERAMO - S.ATTO
GF927EW;11/06/25;11:04;227528;287.7;478.22;IP;esterno;00015804;ADS CASCINA GOBBA OVEST
FE206YK;06/06/25;14:41;370580;156.35;247.37;IP;esterno;00000147;BITONTO - P.LE FERDINANDO II
FK445ZJ;01/06/25;11:04;1;62.97;94.59;IP;esterno;00004679;SACROFANO - S.P. SACROFANESE
FS544TP;03/06/25;14:59;449955;66.18;103.39;IP;esterno;00018074;RIANO - TIBERINA 110
FS544TP;04/06/25;14:43;450422;51.07;79.78;IP;esterno;00018147;RIANO - TIBERINA 110
FS544TP;05/06/25;14:51;450883;52.47;81.97;IP;esterno;00018224;RIANO - TIBERINA 110
